id,payment_bth,supplied_fraction,fee_bth,fee_payment_ratio,total_spend_bth,minimum_payment_at_supplied_fraction_bth,within_supplied_fraction
small-p0.01-u0.01-d30,0.01,0.001,0.73382988888888888888888888888888888888888888888889,73.38298888888888888888888889,0.7438298888888888888888888889,733.8298888888888888888888889,False
small-p0.01-u0.01-d30,0.01,0.01,0.73382988888888888888888888888888888888888888888889,73.38298888888888888888888889,0.7438298888888888888888888889,73.38298888888888888888888889,False
small-p0.01-u0.01-d30,0.01,0.1,0.73382988888888888888888888888888888888888888888889,73.38298888888888888888888889,0.7438298888888888888888888889,7.338298888888888888888888889,False
small-p0.01-u0.01-d30,1,0.001,0.73382988888888888888888888888888888888888888888889,0.7338298888888888888888888889,1.733829888888888888888888889,733.8298888888888888888888889,False
small-p0.01-u0.01-d30,1,0.01,0.73382988888888888888888888888888888888888888888889,0.7338298888888888888888888889,1.733829888888888888888888889,73.38298888888888888888888889,False
small-p0.01-u0.01-d30,1,0.1,0.73382988888888888888888888888888888888888888888889,0.7338298888888888888888888889,1.733829888888888888888888889,7.338298888888888888888888889,False
small-p0.01-u0.01-d30,100,0.001,0.73382988888888888888888888888888888888888888888889,0.007338298888888888888888888889,100.7338298888888888888888889,733.8298888888888888888888889,False
small-p0.01-u0.01-d30,100,0.01,0.73382988888888888888888888888888888888888888888889,0.007338298888888888888888888889,100.7338298888888888888888889,73.38298888888888888888888889,True
small-p0.01-u0.01-d30,100,0.1,0.73382988888888888888888888888888888888888888888889,0.007338298888888888888888888889,100.7338298888888888888888889,7.338298888888888888888888889,True
small-p0.01-u0.01-d365,0.01,0.001,0.73624188888888888888888888888888888888888888888889,73.62418888888888888888888889,0.7462418888888888888888888889,736.2418888888888888888888889,False
small-p0.01-u0.01-d365,0.01,0.01,0.73624188888888888888888888888888888888888888888889,73.62418888888888888888888889,0.7462418888888888888888888889,73.62418888888888888888888889,False
small-p0.01-u0.01-d365,0.01,0.1,0.73624188888888888888888888888888888888888888888889,73.62418888888888888888888889,0.7462418888888888888888888889,7.362418888888888888888888889,False
small-p0.01-u0.01-d365,1,0.001,0.73624188888888888888888888888888888888888888888889,0.7362418888888888888888888889,1.736241888888888888888888889,736.2418888888888888888888889,False
small-p0.01-u0.01-d365,1,0.01,0.73624188888888888888888888888888888888888888888889,0.7362418888888888888888888889,1.736241888888888888888888889,73.62418888888888888888888889,False
small-p0.01-u0.01-d365,1,0.1,0.73624188888888888888888888888888888888888888888889,0.7362418888888888888888888889,1.736241888888888888888888889,7.362418888888888888888888889,False
small-p0.01-u0.01-d365,100,0.001,0.73624188888888888888888888888888888888888888888889,0.007362418888888888888888888889,100.7362418888888888888888889,736.2418888888888888888888889,False
small-p0.01-u0.01-d365,100,0.01,0.73624188888888888888888888888888888888888888888889,0.007362418888888888888888888889,100.7362418888888888888888889,73.62418888888888888888888889,True
small-p0.01-u0.01-d365,100,0.1,0.73624188888888888888888888888888888888888888888889,0.007362418888888888888888888889,100.7362418888888888888888889,7.362418888888888888888888889,True
small-p0.01-u0.1-d30,0.01,0.001,0.075579888888888888888888888888888888888888888888889,7.557988888888888888888888889,0.08557988888888888888888888889,75.57988888888888888888888889,False
small-p0.01-u0.1-d30,0.01,0.01,0.075579888888888888888888888888888888888888888888889,7.557988888888888888888888889,0.08557988888888888888888888889,7.557988888888888888888888889,False
small-p0.01-u0.1-d30,0.01,0.1,0.075579888888888888888888888888888888888888888888889,7.557988888888888888888888889,0.08557988888888888888888888889,0.7557988888888888888888888889,False
small-p0.01-u0.1-d30,1,0.001,0.075579888888888888888888888888888888888888888888889,0.07557988888888888888888888889,1.075579888888888888888888889,75.57988888888888888888888889,False
small-p0.01-u0.1-d30,1,0.01,0.075579888888888888888888888888888888888888888888889,0.07557988888888888888888888889,1.075579888888888888888888889,7.557988888888888888888888889,False
small-p0.01-u0.1-d30,1,0.1,0.075579888888888888888888888888888888888888888888889,0.07557988888888888888888888889,1.075579888888888888888888889,0.7557988888888888888888888889,True
small-p0.01-u0.1-d30,100,0.001,0.075579888888888888888888888888888888888888888888889,0.0007557988888888888888888888889,100.0755798888888888888888889,75.57988888888888888888888889,True
small-p0.01-u0.1-d30,100,0.01,0.075579888888888888888888888888888888888888888888889,0.0007557988888888888888888888889,100.0755798888888888888888889,7.557988888888888888888888889,True
small-p0.01-u0.1-d30,100,0.1,0.075579888888888888888888888888888888888888888888889,0.0007557988888888888888888888889,100.0755798888888888888888889,0.7557988888888888888888888889,True
small-p0.01-u0.1-d365,0.01,0.001,0.077991888888888888888888888888888888888888888888889,7.799188888888888888888888889,0.08799188888888888888888888889,77.99188888888888888888888889,False
small-p0.01-u0.1-d365,0.01,0.01,0.077991888888888888888888888888888888888888888888889,7.799188888888888888888888889,0.08799188888888888888888888889,7.799188888888888888888888889,False
small-p0.01-u0.1-d365,0.01,0.1,0.077991888888888888888888888888888888888888888888889,7.799188888888888888888888889,0.08799188888888888888888888889,0.7799188888888888888888888889,False
small-p0.01-u0.1-d365,1,0.001,0.077991888888888888888888888888888888888888888888889,0.07799188888888888888888888889,1.077991888888888888888888889,77.99188888888888888888888889,False
small-p0.01-u0.1-d365,1,0.01,0.077991888888888888888888888888888888888888888888889,0.07799188888888888888888888889,1.077991888888888888888888889,7.799188888888888888888888889,False
small-p0.01-u0.1-d365,1,0.1,0.077991888888888888888888888888888888888888888888889,0.07799188888888888888888888889,1.077991888888888888888888889,0.7799188888888888888888888889,True
small-p0.01-u0.1-d365,100,0.001,0.077991888888888888888888888888888888888888888888889,0.0007799188888888888888888888889,100.0779918888888888888888889,77.99188888888888888888888889,True
small-p0.01-u0.1-d365,100,0.01,0.077991888888888888888888888888888888888888888888889,0.0007799188888888888888888888889,100.0779918888888888888888889,7.799188888888888888888888889,True
small-p0.01-u0.1-d365,100,0.1,0.077991888888888888888888888888888888888888888888889,0.0007799188888888888888888888889,100.0779918888888888888888889,0.7799188888888888888888888889,True
small-p0.01-u0.8-d30,0.01,0.001,0.011583361111111111111111111111111111111111111111111,1.158336111111111111111111111,0.02158336111111111111111111111,11.58336111111111111111111111,False
small-p0.01-u0.8-d30,0.01,0.01,0.011583361111111111111111111111111111111111111111111,1.158336111111111111111111111,0.02158336111111111111111111111,1.158336111111111111111111111,False
small-p0.01-u0.8-d30,0.01,0.1,0.011583361111111111111111111111111111111111111111111,1.158336111111111111111111111,0.02158336111111111111111111111,0.1158336111111111111111111111,False
small-p0.01-u0.8-d30,1,0.001,0.011583361111111111111111111111111111111111111111111,0.01158336111111111111111111111,1.011583361111111111111111111,11.58336111111111111111111111,False
small-p0.01-u0.8-d30,1,0.01,0.011583361111111111111111111111111111111111111111111,0.01158336111111111111111111111,1.011583361111111111111111111,1.158336111111111111111111111,False
small-p0.01-u0.8-d30,1,0.1,0.011583361111111111111111111111111111111111111111111,0.01158336111111111111111111111,1.011583361111111111111111111,0.1158336111111111111111111111,True
small-p0.01-u0.8-d30,100,0.001,0.011583361111111111111111111111111111111111111111111,0.0001158336111111111111111111111,100.0115833611111111111111111,11.58336111111111111111111111,True
small-p0.01-u0.8-d30,100,0.01,0.011583361111111111111111111111111111111111111111111,0.0001158336111111111111111111111,100.0115833611111111111111111,1.158336111111111111111111111,True
small-p0.01-u0.8-d30,100,0.1,0.011583361111111111111111111111111111111111111111111,0.0001158336111111111111111111111,100.0115833611111111111111111,0.1158336111111111111111111111,True
